instrument,group,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
BF_M2M3M4,live-9,TB,mid,10,10,20.0,40.0,2.487,6.5,1.5,-30.0,LOW-N
BF_M2M3M4,live-9,TB,mid,20,10,80.0,50.0,2.627,7.0,6.5,30.0,LOW-N
BF_M2M3M4,live-9,TB,established,5,3,0.0,33.33,2.094,2.0,,-50.0,LOW-N
BF_M2M3M4,live-9,TB,established,10,3,33.33,33.33,2.094,2.0,10.0,-16.67,LOW-N
BF_M2M3M4,live-9,TB,established,20,3,100.0,33.33,2.094,2.0,10.0,50.0,LOW-N
BF_M2M3M4,live-9,C,early,5,6,66.67,33.33,1.82,3.5,2.0,16.67,LOW-N
BF_M2M3M4,live-9,C,early,10,6,83.33,33.33,1.832,6.5,2.0,33.33,LOW-N
BF_M2M3M4,live-9,C,early,20,6,100.0,66.67,2.084,10.5,2.5,50.0,LOW-N
BF_M2M3M4,live-9,C,mid,5,29,48.28,31.03,2.013,3.0,2.0,-1.72,
BF_M2M3M4,live-9,C,mid,10,29,86.21,44.83,2.136,4.0,2.0,36.21,
BF_M2M3M4,live-9,C,mid,20,29,89.66,62.07,2.396,9.5,2.0,39.66,
BF_M2M3M4,live-9,C,established,5,127,44.88,49.61,2.683,2.0,2.0,-5.12,
BF_M2M3M4,live-9,C,established,10,127,67.72,58.27,2.925,4.0,2.5,17.72,
BF_M2M3M4,live-9,C,established,20,125,92.8,72.8,3.091,6.0,3.0,42.8,
BF_M2M3M4,live-9,F,early,5,10,0.0,40.0,2.822,4.0,,-50.0,LOW-N
BF_M2M3M4,live-9,F,early,10,10,0.0,50.0,2.823,4.0,,-50.0,LOW-N
BF_M2M3M4,live-9,F,early,20,10,50.0,60.0,2.658,4.5,10.0,0.0,LOW-N
BF_M2M3M4,live-9,F,mid,5,18,50.0,44.44,2.583,2.5,3.0,0.0,LOW-N
BF_M2M3M4,live-9,F,mid,10,18,50.0,50.0,2.524,3.0,3.0,0.0,LOW-N
BF_M2M3M4,live-9,F,mid,20,18,66.67,55.56,2.514,3.0,3.0,16.67,LOW-N
BF_M2M3M4,live-9,F,established,5,0,,,,,,,
BF_M2M3M4,live-9,F,established,10,0,,,,,,,
BF_M2M3M4,live-9,F,established,20,0,,,,,,,
BF_M3M4M5,live-9,SB,early,5,23,17.39,47.83,2.808,3.0,2.0,-32.61,
BF_M3M4M5,live-9,SB,early,10,23,34.78,56.52,2.749,4.0,2.5,-15.22,
BF_M3M4M5,live-9,SB,early,20,23,78.26,73.91,2.598,8.0,7.0,28.26,
BF_M3M4M5,live-9,SB,mid,5,83,33.73,43.37,2.195,2.0,1.0,-16.27,
BF_M3M4M5,live-9,SB,mid,10,83,53.01,56.63,2.24,4.0,2.0,3.01,
BF_M3M4M5,live-9,SB,mid,20,83,71.08,66.27,2.371,8.0,2.0,21.08,
BF_M3M4M5,live-9,SB,established,5,59,27.12,37.29,2.268,2.0,2.0,-22.88,
BF_M3M4M5,live-9,SB,established,10,59,44.07,49.15,2.356,5.0,3.0,-5.93,
BF_M3M4M5,live-9,SB,established,20,59,72.88,55.93,2.392,7.0,3.0,22.88,
BF_M3M4M5,live-9,MB,early,5,15,13.33,0.0,,,2.5,-36.67,LOW-N
BF_M3M4M5,live-9,MB,early,10,15,33.33,0.0,,,6.0,-16.67,LOW-N
BF_M3M4M5,live-9,MB,early,20,15,86.67,20.0,2.985,19.0,6.0,36.67,LOW-N
BF_M3M4M5,live-9,MB,mid,5,28,57.14,28.57,2.083,1.5,2.0,7.14,
BF_M3M4M5,live-9,MB,mid,10,28,60.71,32.14,2.125,2.0,2.0,10.71,
BF_M3M4M5,live-9,MB,mid,20,28,92.86,50.0,2.328,15.0,2.5,42.86,
BF_M3M4M5,live-9,MB,established,5,0,,,,,,,
BF_M3M4M5,live-9,MB,established,10,0,,,,,,,
BF_M3M4M5,live-9,MB,established,20,0,,,,,,,
BF_M3M4M5,live-9,TB,early,5,6,50.0,33.33,2.09,3.0,4.0,0.0,LOW-N
BF_M3M4M5,live-9,TB,early,10,6,83.33,50.0,2.331,6.0,5.0,33.33,LOW-N
BF_M3M4M5,live-9,TB,early,20,6,83.33,66.67,2.404,6.5,5.0,33.33,LOW-N
BF_M3M4M5,live-9,TB,mid,5,11,45.45,54.55,2.191,1.5,2.0,-4.55,LOW-N
BF_M3M4M5,live-9,TB,mid,10,11,63.64,54.55,2.229,1.5,3.0,13.64,LOW-N
BF_M3M4M5,live-9,TB,mid,20,11,90.91,72.73,2.431,5.0,4.0,40.91,LOW-N
BF_M3M4M5,live-9,TB,established,5,3,100.0,33.33,2.2,1.0,1.0,50.0,LOW-N
BF_M3M4M5,live-9,TB,established,10,3,100.0,33.33,2.2,1.0,1.0,50.0,LOW-N
BF_M3M4M5,live-9,TB,established,20,3,100.0,66.67,2.071,9.5,1.0,50.0,LOW-N
BF_M3M4M5,live-9,C,early,5,8,12.5,0.0,,,2.0,-37.5,LOW-N
BF_M3M4M5,live-9,C,early,10,8,62.5,12.5,2.077,9.0,7.0,12.5,LOW-N
BF_M3M4M5,live-9,C,early,20,8,100.0,12.5,2.652,12.0,7.5,50.0,LOW-N
BF_M3M4M5,live-9,C,mid,5,23,43.48,26.09,2.094,2.0,1.0,-6.52,
BF_M3M4M5,live-9,C,mid,10,23,60.87,30.43,2.094,2.0,1.0,10.87,
BF_M3M4M5,live-9,C,mid,20,22,81.82,45.45,2.243,4.0,1.5,31.82,
BF_M3M4M5,live-9,C,established,5,147,29.93,55.78,2.459,3.0,2.0,-20.07,
BF_M3M4M5,live-9,C,established,10,147,48.98,65.31,2.528,3.5,3.0,-1.02,
BF_M3M4M5,live-9,C,established,20,147,74.83,78.91,2.597,7.0,4.0,24.83,
BF_M3M4M5,live-9,F,early,5,11,9.09,27.27,2.483,3.0,1.0,-40.91,LOW-N
BF_M3M4M5,live-9,F,early,10,11,54.55,36.36,2.503,5.5,5.5,4.55,LOW-N
BF_M3M4M5,live-9,F,early,20,11,90.91,72.73,2.781,9.0,5.5,40.91,LOW-N
BF_M3M4M5,live-9,F,mid,5,11,54.55,45.45,2.519,2.0,1.0,4.55,LOW-N
BF_M3M4M5,live-9,F,mid,10,11,63.64,54.55,2.398,2.0,1.0,13.64,LOW-N
BF_M3M4M5,live-9,F,mid,20,11,63.64,63.64,2.336,2.0,1.0,13.64,LOW-N
BF_M3M4M5,live-9,F,established,5,0,,,,,,,
BF_M3M4M5,live-9,F,established,10,0,,,,,,,
BF_M3M4M5,live-9,F,established,20,0,,,,,,,
BF_M4M5M6,live-9,SB,early,5,20,50.0,10.0,3.05,3.0,3.5,0.0,
BF_M4M5M6,live-9,SB,early,10,20,60.0,40.0,2.519,7.0,3.5,10.0,
BF_M4M5M6,live-9,SB,early,20,20,95.0,45.0,2.6,8.0,4.0,45.0,
BF_M4M5M6,live-9,SB,mid,5,68,57.35,32.35,2.388,2.0,2.0,7.35,
BF_M4M5M6,live-9,SB,mid,10,68,69.12,39.71,2.351,3.0,2.0,19.12,
BF_M4M5M6,live-9,SB,mid,20,68,97.06,51.47,2.59,8.0,2.5,47.06,
BF_M4M5M6,live-9,SB,established,5,44,63.64,38.64,2.228,3.0,1.0,13.64,
BF_M4M5M6,live-9,SB,established,10,44,77.27,47.73,2.251,3.0,1.0,27.27,
BF_M4M5M6,live-9,SB,established,20,44,81.82,56.82,2.327,6.0,1.0,31.82,
BF_M4M5M6,live-9,MB,early,5,6,50.0,0.0,,,1.0,0.0,LOW-N
BF_M4M5M6,live-9,MB,early,10,6,83.33,0.0,,,1.0,33.33,LOW-N
BF_M4M5M6,live-9,MB,early,20,6,100.0,16.67,3.148,19.0,3.0,50.0,LOW-N
BF_M4M5M6,live-9,MB,mid,5,14,64.29,42.86,2.585,3.0,1.0,14.29,LOW-N
BF_M4M5M6,live-9,MB,mid,10,14,71.43,42.86,2.585,3.0,1.0,21.43,LOW-N
BF_M4M5M6,live-9,MB,mid,20,14,71.43,64.29,2.644,5.0,1.0,21.43,LOW-N
BF_M4M5M6,live-9,MB,established,5,0,,,,,,,
BF_M4M5M6,live-9,MB,established,10,0,,,,,,,
BF_M4M5M6,live-9,MB,established,20,0,,,,,,,
BF_M4M5M6,live-9,TB,early,5,5,20.0,20.0,1.61,4.0,5.0,-30.0,LOW-N
BF_M4M5M6,live-9,TB,early,10,5,40.0,20.0,1.61,4.0,5.5,-10.0,LOW-N
BF_M4M5M6,live-9,TB,early,20,5,40.0,20.0,1.61,4.0,5.5,-10.0,LOW-N
BF_M4M5M6,live-9,TB,mid,5,10,60.0,40.0,2.526,2.0,1.5,10.0,LOW-N
BF_M4M5M6,live-9,TB,mid,10,10,70.0,50.0,2.474,3.0,2.0,20.0,LOW-N
BF_M4M5M6,live-9,TB,mid,20,10,100.0,60.0,2.547,8.0,4.5,50.0,LOW-N
BF_M4M5M6,live-9,TB,established,5,3,100.0,33.33,2.802,1.0,2.0,50.0,LOW-N
BF_M4M5M6,live-9,TB,established,10,3,100.0,33.33,2.802,1.0,2.0,50.0,LOW-N
BF_M4M5M6,live-9,TB,established,20,3,100.0,33.33,2.802,1.0,2.0,50.0,LOW-N
BF_M4M5M6,live-9,C,early,5,7,57.14,42.86,2.241,5.0,1.5,7.14,LOW-N
BF_M4M5M6,live-9,C,early,10,7,85.71,57.14,2.123,5.0,3.0,35.71,LOW-N
BF_M4M5M6,live-9,C,early,20,7,85.71,71.43,2.258,5.0,3.0,35.71,LOW-N
BF_M4M5M6,live-9,C,mid,5,20,30.0,20.0,2.182,3.0,1.5,-20.0,
BF_M4M5M6,live-9,C,mid,10,20,45.0,25.0,2.096,4.0,2.0,-5.0,
BF_M4M5M6,live-9,C,mid,20,19,73.68,26.32,2.216,4.0,3.0,23.68,LOW-N
BF_M4M5M6,live-9,C,established,5,132,26.52,53.79,2.364,2.0,2.0,-23.48,
BF_M4M5M6,live-9,C,established,10,132,50.0,64.39,2.479,3.0,3.0,0.0,
BF_M4M5M6,live-9,C,established,20,132,93.18,71.97,2.59,6.0,4.0,43.18,
BF_M4M5M6,live-9,F,early,5,11,27.27,18.18,1.746,3.0,5.0,-22.73,LOW-N
BF_M4M5M6,live-9,F,early,10,11,63.64,36.36,1.926,5.5,5.0,13.64,LOW-N
BF_M4M5M6,live-9,F,early,20,11,100.0,81.82,2.351,16.0,9.0,50.0,LOW-N
BF_M4M5M6,live-9,F,mid,5,12,58.33,25.0,2.387,3.0,1.0,8.33,LOW-N
BF_M4M5M6,live-9,F,mid,10,12,66.67,33.33,2.209,3.0,1.5,16.67,LOW-N
BF_M4M5M6,live-9,F,mid,20,12,75.0,33.33,2.209,3.0,2.0,25.0,LOW-N
BF_M4M5M6,live-9,F,established,5,0,,,,,,,
BF_M4M5M6,live-9,F,established,10,0,,,,,,,
BF_M4M5M6,live-9,F,established,20,0,,,,,,,
M6-M7,back-month-5,SB,early,5,5,60.0,40.0,2.152,1.0,1.0,10.0,LOW-N
M6-M7,back-month-5,SB,early,10,5,60.0,60.0,2.261,1.0,1.0,10.0,LOW-N
M6-M7,back-month-5,SB,early,20,5,80.0,100.0,2.178,8.0,1.0,30.0,LOW-N
M6-M7,back-month-5,SB,mid,5,45,51.11,35.56,2.249,1.0,2.0,1.11,
M6-M7,back-month-5,SB,mid,10,45,53.33,44.44,2.271,4.0,2.0,3.33,
M6-M7,back-month-5,SB,mid,20,45,86.67,64.44,2.327,11.0,3.0,36.67,
M6-M7,back-month-5,SB,established,5,79,16.46,46.84,2.502,2.0,2.0,-33.54,
M6-M7,back-month-5,SB,established,10,79,34.18,53.16,2.637,3.0,3.0,-15.82,
M6-M7,back-month-5,SB,established,20,79,51.9,55.7,2.712,3.0,4.0,1.9,
M6-M7,back-month-5,MB,early,5,0,,,,,,,
M6-M7,back-month-5,MB,early,10,0,,,,,,,
M6-M7,back-month-5,MB,early,20,0,,,,,,,
M6-M7,back-month-5,MB,mid,5,9,55.56,33.33,2.128,1.0,1.0,5.56,LOW-N
M6-M7,back-month-5,MB,mid,10,9,66.67,33.33,2.128,1.0,1.5,16.67,LOW-N
M6-M7,back-month-5,MB,mid,20,9,100.0,44.44,2.362,10.5,3.0,50.0,LOW-N
M6-M7,back-month-5,MB,established,5,2,50.0,0.0,,,2.0,0.0,LOW-N
M6-M7,back-month-5,MB,established,10,2,50.0,50.0,1.833,10.0,2.0,0.0,LOW-N
M6-M7,back-month-5,MB,established,20,2,100.0,50.0,2.696,11.0,7.5,50.0,LOW-N
M6-M7,back-month-5,TB,early,5,0,,,,,,,
M6-M7,back-month-5,TB,early,10,0,,,,,,,
M6-M7,back-month-5,TB,early,20,0,,,,,,,
M6-M7,back-month-5,TB,mid,5,0,,,,,,,
M6-M7,back-month-5,TB,mid,10,0,,,,,,,
M6-M7,back-month-5,TB,mid,20,0,,,,,,,
M6-M7,back-month-5,TB,established,5,2,0.0,0.0,,,,-50.0,LOW-N
M6-M7,back-month-5,TB,established,10,2,0.0,50.0,2.533,10.0,,-50.0,LOW-N
M6-M7,back-month-5,TB,established,20,2,100.0,100.0,2.533,11.0,13.0,50.0,LOW-N
M6-M7,back-month-5,C,early,5,2,100.0,50.0,1.696,2.0,1.0,50.0,LOW-N
M6-M7,back-month-5,C,early,10,2,100.0,50.0,1.696,2.0,1.0,50.0,LOW-N
M6-M7,back-month-5,C,early,20,2,100.0,50.0,1.696,2.0,1.0,50.0,LOW-N
M6-M7,back-month-5,C,mid,5,7,14.29,28.57,1.946,2.5,1.0,-35.71,LOW-N
M6-M7,back-month-5,C,mid,10,7,42.86,28.57,1.946,2.5,1.0,-7.14,LOW-N
M6-M7,back-month-5,C,mid,20,7,85.71,42.86,1.848,16.0,5.5,35.71,LOW-N
M6-M7,back-month-5,C,established,5,26,11.54,57.69,2.663,4.0,2.0,-38.46,
M6-M7,back-month-5,C,established,10,26,15.38,65.38,2.84,4.0,2.0,-34.62,
M6-M7,back-month-5,C,established,20,26,42.31,80.77,2.824,5.0,2.0,-7.69,
M6-M7,back-month-5,F,early,5,5,0.0,20.0,2.554,3.0,,-50.0,LOW-N
M6-M7,back-month-5,F,early,10,5,60.0,20.0,2.554,3.0,2.0,10.0,LOW-N
M6-M7,back-month-5,F,early,20,5,60.0,20.0,2.554,3.0,2.0,10.0,LOW-N
M6-M7,back-month-5,F,mid,5,12,58.33,41.67,2.28,2.0,1.0,8.33,LOW-N
M6-M7,back-month-5,F,mid,10,12,75.0,41.67,2.28,2.0,2.0,25.0,LOW-N
M6-M7,back-month-5,F,mid,20,12,75.0,50.0,2.209,2.0,2.0,25.0,LOW-N
M6-M7,back-month-5,F,established,5,0,,,,,,,
M6-M7,back-month-5,F,established,10,0,,,,,,,
M6-M7,back-month-5,F,established,20,0,,,,,,,
M7-M8,back-month-5,SB,early,5,4,100.0,0.0,,,2.0,50.0,LOW-N
M7-M8,back-month-5,SB,early,10,4,100.0,50.0,2.218,8.5,2.0,50.0,LOW-N
M7-M8,back-month-5,SB,early,20,4,100.0,50.0,3.085,12.0,2.0,50.0,LOW-N
M7-M8,back-month-5,SB,mid,5,49,36.73,46.94,2.252,3.0,2.0,-13.27,
M7-M8,back-month-5,SB,mid,10,49,59.18,53.06,2.318,3.5,3.0,9.18,
M7-M8,back-month-5,SB,mid,20,49,79.59,65.31,2.364,5.0,4.0,29.59,
M7-M8,back-month-5,SB,established,5,81,12.35,54.32,2.296,2.5,2.0,-37.65,
M7-M8,back-month-5,SB,established,10,81,20.99,60.49,2.335,3.0,3.0,-29.01,
M7-M8,back-month-5,SB,established,20,81,49.38,65.43,2.386,4.0,6.5,-0.62,
M7-M8,back-month-5,MB,early,5,1,0.0,0.0,,,,-50.0,LOW-N
M7-M8,back-month-5,MB,early,10,1,100.0,0.0,,,3.0,50.0,LOW-N
M7-M8,back-month-5,MB,early,20,1,100.0,0.0,,,3.0,50.0,LOW-N
M7-M8,back-month-5,MB,mid,5,11,45.45,36.36,1.962,1.0,3.0,-4.55,LOW-N
M7-M8,back-month-5,MB,mid,10,11,63.64,36.36,1.962,1.0,4.0,13.64,LOW-N
M7-M8,back-month-5,MB,mid,20,11,72.73,63.64,2.014,17.0,4.0,22.73,LOW-N
M7-M8,back-month-5,MB,established,5,0,,,,,,,
M7-M8,back-month-5,MB,established,10,0,,,,,,,
M7-M8,back-month-5,MB,established,20,0,,,,,,,
M7-M8,back-month-5,TB,early,5,0,,,,,,,
M7-M8,back-month-5,TB,early,10,0,,,,,,,
M7-M8,back-month-5,TB,early,20,0,,,,,,,
M7-M8,back-month-5,TB,mid,5,0,,,,,,,
M7-M8,back-month-5,TB,mid,10,0,,,,,,,
M7-M8,back-month-5,TB,mid,20,0,,,,,,,
M7-M8,back-month-5,TB,established,5,2,0.0,50.0,2.291,1.0,,-50.0,LOW-N
M7-M8,back-month-5,TB,established,10,2,100.0,50.0,2.291,1.0,9.5,50.0,LOW-N
M7-M8,back-month-5,TB,established,20,2,100.0,50.0,2.291,1.0,9.5,50.0,LOW-N
M7-M8,back-month-5,C,early,5,0,,,,,,,
M7-M8,back-month-5,C,early,10,0,,,,,,,
M7-M8,back-month-5,C,early,20,0,,,,,,,
M7-M8,back-month-5,C,mid,5,13,30.77,38.46,2.216,2.0,1.5,-19.23,LOW-N
M7-M8,back-month-5,C,mid,10,13,53.85,38.46,2.216,2.0,2.0,3.85,LOW-N
M7-M8,back-month-5,C,mid,20,13,100.0,53.85,2.294,3.0,4.0,50.0,LOW-N
M7-M8,back-month-5,C,established,5,20,20.0,40.0,1.986,2.0,1.5,-30.0,
M7-M8,back-month-5,C,established,10,20,25.0,50.0,2.077,5.0,1.0,-25.0,
M7-M8,back-month-5,C,established,20,20,50.0,75.0,2.175,13.0,2.0,0.0,
M7-M8,back-month-5,F,early,5,3,33.33,0.0,,,4.0,-16.67,LOW-N
M7-M8,back-month-5,F,early,10,3,33.33,0.0,,,4.0,-16.67,LOW-N
M7-M8,back-month-5,F,early,20,3,66.67,33.33,1.691,11.0,8.0,16.67,LOW-N
M7-M8,back-month-5,F,mid,5,7,71.43,28.57,2.344,3.0,2.0,21.43,LOW-N
M7-M8,back-month-5,F,mid,10,7,85.71,28.57,2.344,3.0,2.0,35.71,LOW-N
M7-M8,back-month-5,F,mid,20,7,85.71,42.86,2.305,4.0,2.0,35.71,LOW-N
M7-M8,back-month-5,F,established,5,0,,,,,,,
M7-M8,back-month-5,F,established,10,0,,,,,,,
M7-M8,back-month-5,F,established,20,0,,,,,,,
M8-M9,back-month-5,SB,early,5,6,50.0,16.67,1.95,1.0,1.0,0.0,LOW-N
M8-M9,back-month-5,SB,early,10,6,83.33,33.33,1.964,5.5,1.0,33.33,LOW-N
M8-M9,back-month-5,SB,early,20,6,100.0,83.33,2.151,19.0,1.5,50.0,LOW-N
M8-M9,back-month-5,SB,mid,5,45,48.89,37.78,2.083,2.0,1.0,-1.11,
M8-M9,back-month-5,SB,mid,10,45,75.56,46.67,2.138,3.0,2.0,25.56,
M8-M9,back-month-5,SB,mid,20,45,86.67,64.44,2.146,6.0,2.0,36.67,
M8-M9,back-month-5,SB,established,5,58,24.14,53.45,2.262,3.0,3.0,-25.86,
M8-M9,back-month-5,SB,established,10,58,44.83,56.9,2.354,3.0,4.0,-5.17,
M8-M9,back-month-5,SB,established,20,58,63.79,68.97,2.509,5.5,6.0,13.79,
M8-M9,back-month-5,MB,early,5,0,,,,,,,
M8-M9,back-month-5,MB,early,10,0,,,,,,,
M8-M9,back-month-5,MB,early,20,0,,,,,,,
M8-M9,back-month-5,MB,mid,5,12,50.0,16.67,2.865,1.0,1.0,0.0,LOW-N
M8-M9,back-month-5,MB,mid,10,12,66.67,16.67,2.865,1.0,1.0,16.67,LOW-N
M8-M9,back-month-5,MB,mid,20,12,91.67,33.33,2.422,9.5,1.0,41.67,LOW-N
M8-M9,back-month-5,MB,established,5,1,0.0,0.0,,,,-50.0,LOW-N
M8-M9,back-month-5,MB,established,10,1,0.0,0.0,,,,-50.0,LOW-N
M8-M9,back-month-5,MB,established,20,1,100.0,0.0,,,13.0,50.0,LOW-N
M8-M9,back-month-5,TB,early,5,0,,,,,,,
M8-M9,back-month-5,TB,early,10,0,,,,,,,
M8-M9,back-month-5,TB,early,20,0,,,,,,,
M8-M9,back-month-5,TB,mid,5,2,0.0,100.0,2.434,4.5,,-50.0,LOW-N
M8-M9,back-month-5,TB,mid,10,2,0.0,100.0,2.434,4.5,,-50.0,LOW-N
M8-M9,back-month-5,TB,mid,20,2,100.0,100.0,2.434,4.5,10.5,50.0,LOW-N
M8-M9,back-month-5,TB,established,5,4,0.0,25.0,2.401,1.0,,-50.0,LOW-N
M8-M9,back-month-5,TB,established,10,4,0.0,50.0,2.229,5.5,,-50.0,LOW-N
M8-M9,back-month-5,TB,established,20,4,100.0,50.0,2.312,9.0,8.0,50.0,LOW-N
M8-M9,back-month-5,C,early,5,1,0.0,0.0,,,,-50.0,LOW-N
M8-M9,back-month-5,C,early,10,1,0.0,0.0,,,,-50.0,LOW-N
M8-M9,back-month-5,C,early,20,1,100.0,0.0,,,4.0,50.0,LOW-N
M8-M9,back-month-5,C,mid,5,9,44.44,33.33,2.092,1.0,1.0,-5.56,LOW-N
M8-M9,back-month-5,C,mid,10,9,77.78,33.33,2.092,1.0,3.0,27.78,LOW-N
M8-M9,back-month-5,C,mid,20,9,100.0,55.56,2.097,13.0,5.0,50.0,LOW-N
M8-M9,back-month-5,C,established,5,18,72.22,44.44,2.151,2.5,1.0,22.22,LOW-N
M8-M9,back-month-5,C,established,10,18,94.44,55.56,2.266,3.0,2.0,44.44,LOW-N
M8-M9,back-month-5,C,established,20,18,100.0,66.67,2.507,8.5,2.5,50.0,LOW-N
M8-M9,back-month-5,F,early,5,1,100.0,0.0,,,1.0,50.0,LOW-N
M8-M9,back-month-5,F,early,10,1,100.0,0.0,,,1.0,50.0,LOW-N
M8-M9,back-month-5,F,early,20,1,100.0,100.0,2.123,15.0,1.0,50.0,LOW-N
M8-M9,back-month-5,F,mid,5,7,71.43,28.57,1.831,2.0,2.0,21.43,LOW-N
M8-M9,back-month-5,F,mid,10,7,85.71,28.57,1.831,2.0,2.5,35.71,LOW-N
M8-M9,back-month-5,F,mid,20,7,85.71,28.57,1.831,2.0,2.5,35.71,LOW-N
M8-M9,back-month-5,F,established,5,0,,,,,,,
M8-M9,back-month-5,F,established,10,0,,,,,,,
M8-M9,back-month-5,F,established,20,0,,,,,,,
BF_M6M7M8,back-month-5,SB,early,5,5,60.0,60.0,2.336,3.0,1.0,10.0,LOW-N
BF_M6M7M8,back-month-5,SB,early,10,5,80.0,80.0,2.29,3.5,2.5,30.0,LOW-N
BF_M6M7M8,back-month-5,SB,early,20,5,100.0,100.0,2.55,4.0,2.0,50.0,LOW-N
BF_M6M7M8,back-month-5,SB,mid,5,40,82.5,35.0,2.293,2.5,1.0,32.5,
BF_M6M7M8,back-month-5,SB,mid,10,40,92.5,50.0,2.37,4.5,2.0,42.5,
BF_M6M7M8,back-month-5,SB,mid,20,40,100.0,62.5,2.504,10.0,2.0,50.0,
BF_M6M7M8,back-month-5,SB,established,5,45,75.56,24.44,2.405,1.0,1.0,25.56,
BF_M6M7M8,back-month-5,SB,established,10,45,88.89,57.78,2.726,7.0,1.0,38.89,
BF_M6M7M8,back-month-5,SB,established,20,45,95.56,66.67,2.877,8.5,1.0,45.56,
BF_M6M7M8,back-month-5,MB,early,5,2,100.0,0.0,,,1.0,50.0,LOW-N
BF_M6M7M8,back-month-5,MB,early,10,2,100.0,50.0,1.936,6.0,1.0,50.0,LOW-N
BF_M6M7M8,back-month-5,MB,early,20,2,100.0,50.0,1.936,6.0,1.0,50.0,LOW-N
BF_M6M7M8,back-month-5,MB,mid,5,14,50.0,42.86,2.297,3.0,1.0,0.0,LOW-N
BF_M6M7M8,back-month-5,MB,mid,10,14,71.43,50.0,2.287,3.0,2.0,21.43,LOW-N
BF_M6M7M8,back-month-5,MB,mid,20,14,85.71,50.0,2.379,3.0,2.5,35.71,LOW-N
BF_M6M7M8,back-month-5,MB,established,5,0,,,,,,,
BF_M6M7M8,back-month-5,MB,established,10,0,,,,,,,
BF_M6M7M8,back-month-5,MB,established,20,0,,,,,,,
BF_M6M7M8,back-month-5,TB,early,5,2,50.0,0.0,,,4.0,0.0,LOW-N
BF_M6M7M8,back-month-5,TB,early,10,2,50.0,0.0,,,4.0,0.0,LOW-N
BF_M6M7M8,back-month-5,TB,early,20,2,100.0,50.0,1.929,16.0,11.5,50.0,LOW-N
BF_M6M7M8,back-month-5,TB,mid,5,0,,,,,,,
BF_M6M7M8,back-month-5,TB,mid,10,0,,,,,,,
BF_M6M7M8,back-month-5,TB,mid,20,0,,,,,,,
BF_M6M7M8,back-month-5,TB,established,5,0,,,,,,,
BF_M6M7M8,back-month-5,TB,established,10,0,,,,,,,
BF_M6M7M8,back-month-5,TB,established,20,0,,,,,,,
BF_M6M7M8,back-month-5,C,early,5,3,66.67,0.0,,,1.0,16.67,LOW-N
BF_M6M7M8,back-month-5,C,early,10,3,66.67,0.0,,,1.0,16.67,LOW-N
BF_M6M7M8,back-month-5,C,early,20,3,100.0,33.33,1.589,13.0,1.0,50.0,LOW-N
BF_M6M7M8,back-month-5,C,mid,5,8,75.0,0.0,,,1.0,25.0,LOW-N
BF_M6M7M8,back-month-5,C,mid,10,8,87.5,37.5,2.117,9.0,1.0,37.5,LOW-N
BF_M6M7M8,back-month-5,C,mid,20,8,100.0,75.0,2.073,12.5,1.5,50.0,LOW-N
BF_M6M7M8,back-month-5,C,established,5,13,84.62,30.77,2.347,1.5,1.0,34.62,LOW-N
BF_M6M7M8,back-month-5,C,established,10,13,92.31,46.15,2.248,2.5,1.0,42.31,LOW-N
BF_M6M7M8,back-month-5,C,established,20,13,100.0,69.23,2.362,15.0,1.0,50.0,LOW-N
BF_M6M7M8,back-month-5,F,early,5,2,50.0,50.0,1.77,3.0,1.0,0.0,LOW-N
BF_M6M7M8,back-month-5,F,early,10,2,50.0,50.0,2.27,8.0,1.0,0.0,LOW-N
BF_M6M7M8,back-month-5,F,early,20,2,100.0,50.0,2.27,8.0,1.5,50.0,LOW-N
BF_M6M7M8,back-month-5,F,mid,5,9,77.78,33.33,2.458,4.0,1.0,27.78,LOW-N
BF_M6M7M8,back-month-5,F,mid,10,9,77.78,33.33,2.458,4.0,1.0,27.78,LOW-N
BF_M6M7M8,back-month-5,F,mid,20,9,88.89,44.44,2.311,4.5,1.0,38.89,LOW-N
BF_M6M7M8,back-month-5,F,established,5,1,0.0,0.0,,,,-50.0,LOW-N
BF_M6M7M8,back-month-5,F,established,10,1,0.0,0.0,,,,-50.0,LOW-N
BF_M6M7M8,back-month-5,F,established,20,1,0.0,0.0,,,,-50.0,LOW-N
BF_M7M8M9,back-month-5,SB,early,5,6,100.0,16.67,2.02,3.0,1.0,50.0,LOW-N
BF_M7M8M9,back-month-5,SB,early,10,6,100.0,33.33,1.887,4.5,1.0,50.0,LOW-N
BF_M7M8M9,back-month-5,SB,early,20,6,100.0,50.0,2.31,12.0,1.0,50.0,LOW-N
BF_M7M8M9,back-month-5,SB,mid,5,32,87.5,21.88,2.357,2.0,1.0,37.5,
BF_M7M8M9,back-month-5,SB,mid,10,32,96.88,34.38,2.41,5.0,1.0,46.88,
BF_M7M8M9,back-month-5,SB,mid,20,32,100.0,53.12,2.287,6.0,1.0,50.0,
BF_M7M8M9,back-month-5,SB,established,5,39,69.23,35.9,2.279,3.0,1.0,19.23,
BF_M7M8M9,back-month-5,SB,established,10,39,92.31,51.28,2.883,6.0,1.0,42.31,
BF_M7M8M9,back-month-5,SB,established,20,39,100.0,66.67,2.886,8.5,1.0,50.0,
